x	y	showSelected1	group
-3	3	1	-1
-3	3	2	-1
-2.7	2.4	2	-1
-3	3	3	-1
-2.7	2.4	3	-1
-2.43	1.92	3	-1
-3	3	4	-1
-2.7	2.4	4	-1
-2.43	1.92	4	-1
-2.187	1.536	4	-1
-3	3	5	-1
-2.7	2.4	5	-1
-2.43	1.92	5	-1
-2.187	1.536	5	-1
-1.9683	1.2288	5	-1
-3	3	6	-1
-2.7	2.4	6	-1
-2.43	1.92	6	-1
-2.187	1.536	6	-1
-1.9683	1.2288	6	-1
-1.77147	0.98304	6	-1
-3	3	7	-1
-2.7	2.4	7	-1
-2.43	1.92	7	-1
-2.187	1.536	7	-1
-1.9683	1.2288	7	-1
-1.77147	0.98304	7	-1
-1.594323	0.786432	7	-1
-3	3	8	-1
-2.7	2.4	8	-1
-2.43	1.92	8	-1
-2.187	1.536	8	-1
-1.9683	1.2288	8	-1
-1.77147	0.98304	8	-1
-1.594323	0.786432	8	-1
-1.4348907	0.6291456	8	-1
-3	3	9	-1
-2.7	2.4	9	-1
-2.43	1.92	9	-1
-2.187	1.536	9	-1
-1.9683	1.2288	9	-1
-1.77147	0.98304	9	-1
-1.594323	0.786432	9	-1
-1.4348907	0.6291456	9	-1
-1.29140163	0.50331648	9	-1
-3	3	10	-1
-2.7	2.4	10	-1
-2.43	1.92	10	-1
-2.187	1.536	10	-1
-1.9683	1.2288	10	-1
-1.77147	0.98304	10	-1
-1.594323	0.786432	10	-1
-1.4348907	0.6291456	10	-1
-1.29140163	0.50331648	10	-1
-1.162261467	0.402653184	10	-1
-3	3	11	-1
-2.7	2.4	11	-1
-2.43	1.92	11	-1
-2.187	1.536	11	-1
-1.9683	1.2288	11	-1
-1.77147	0.98304	11	-1
-1.594323	0.786432	11	-1
-1.4348907	0.6291456	11	-1
-1.29140163	0.50331648	11	-1
-1.162261467	0.402653184	11	-1
-1.0460353203	0.3221225472	11	-1
-3	3	12	-1
-2.7	2.4	12	-1
-2.43	1.92	12	-1
-2.187	1.536	12	-1
-1.9683	1.2288	12	-1
-1.77147	0.98304	12	-1
-1.594323	0.786432	12	-1
-1.4348907	0.6291456	12	-1
-1.29140163	0.50331648	12	-1
-1.162261467	0.402653184	12	-1
-1.0460353203	0.3221225472	12	-1
-0.94143178827	0.25769803776	12	-1
-3	3	13	-1
-2.7	2.4	13	-1
-2.43	1.92	13	-1
-2.187	1.536	13	-1
-1.9683	1.2288	13	-1
-1.77147	0.98304	13	-1
-1.594323	0.786432	13	-1
-1.4348907	0.6291456	13	-1
-1.29140163	0.50331648	13	-1
-1.162261467	0.402653184	13	-1
-1.0460353203	0.3221225472	13	-1
-0.94143178827	0.25769803776	13	-1
-0.847288609443	0.206158430208	13	-1
-3	3	14	-1
-2.7	2.4	14	-1
-2.43	1.92	14	-1
-2.187	1.536	14	-1
-1.9683	1.2288	14	-1
-1.77147	0.98304	14	-1
-1.594323	0.786432	14	-1
-1.4348907	0.6291456	14	-1
-1.29140163	0.50331648	14	-1
-1.162261467	0.402653184	14	-1
-1.0460353203	0.3221225472	14	-1
-0.94143178827	0.25769803776	14	-1
-0.847288609443	0.206158430208	14	-1
-0.7625597484987	0.1649267441664	14	-1
-3	3	15	-1
-2.7	2.4	15	-1
-2.43	1.92	15	-1
-2.187	1.536	15	-1
-1.9683	1.2288	15	-1
-1.77147	0.98304	15	-1
-1.594323	0.786432	15	-1
-1.4348907	0.6291456	15	-1
