x	y	showSelected1
-3	3	1
-3	3	2
-2.7	2.4	2
-3	3	3
-2.7	2.4	3
-2.43	1.92	3
-3	3	4
-2.7	2.4	4
-2.43	1.92	4
-2.187	1.536	4
-3	3	5
-2.7	2.4	5
-2.43	1.92	5
-2.187	1.536	5
-1.9683	1.2288	5
-3	3	6
-2.7	2.4	6
-2.43	1.92	6
-2.187	1.536	6
-1.9683	1.2288	6
-1.77147	0.98304	6
-3	3	7
-2.7	2.4	7
-2.43	1.92	7
-2.187	1.536	7
-1.9683	1.2288	7
-1.77147	0.98304	7
-1.594323	0.786432	7
-3	3	8
-2.7	2.4	8
-2.43	1.92	8
-2.187	1.536	8
-1.9683	1.2288	8
-1.77147	0.98304	8
-1.594323	0.786432	8
-1.4348907	0.6291456	8
-3	3	9
-2.7	2.4	9
-2.43	1.92	9
-2.187	1.536	9
-1.9683	1.2288	9
-1.77147	0.98304	9
-1.594323	0.786432	9
-1.4348907	0.6291456	9
-1.29140163	0.50331648	9
-3	3	10
-2.7	2.4	10
-2.43	1.92	10
-2.187	1.536	10
-1.9683	1.2288	10
-1.77147	0.98304	10
-1.594323	0.786432	10
-1.4348907	0.6291456	10
-1.29140163	0.50331648	10
-1.162261467	0.402653184	10
-3	3	11
-2.7	2.4	11
-2.43	1.92	11
-2.187	1.536	11
-1.9683	1.2288	11
-1.77147	0.98304	11
-1.594323	0.786432	11
-1.4348907	0.6291456	11
-1.29140163	0.50331648	11
-1.162261467	0.402653184	11
-1.0460353203	0.3221225472	11
-3	3	12
-2.7	2.4	12
-2.43	1.92	12
-2.187	1.536	12
-1.9683	1.2288	12
-1.77147	0.98304	12
-1.594323	0.786432	12
-1.4348907	0.6291456	12
-1.29140163	0.50331648	12
-1.162261467	0.402653184	12
-1.0460353203	0.3221225472	12
-0.94143178827	0.25769803776	12
-3	3	13
-2.7	2.4	13
-2.43	1.92	13
-2.187	1.536	13
-1.9683	1.2288	13
-1.77147	0.98304	13
-1.594323	0.786432	13
-1.4348907	0.6291456	13
-1.29140163	0.50331648	13
-1.162261467	0.402653184	13
-1.0460353203	0.3221225472	13
-0.94143178827	0.25769803776	13
-0.847288609443	0.206158430208	13
-3	3	14
-2.7	2.4	14
-2.43	1.92	14
-2.187	1.536	14
-1.9683	1.2288	14
-1.77147	0.98304	14
-1.594323	0.786432	14
-1.4348907	0.6291456	14
-1.29140163	0.50331648	14
-1.162261467	0.402653184	14
-1.0460353203	0.3221225472	14
-0.94143178827	0.25769803776	14
-0.847288609443	0.206158430208	14
-0.7625597484987	0.1649267441664	14
-3	3	15
-2.7	2.4	15
-2.43	1.92	15
-2.187	1.536	15
-1.9683	1.2288	15
-1.77147	0.98304	15
-1.594323	0.786432	15
-1.4348907	0.6291456	15
-1.29140163	0.50331648	15
-1.162261467	0.402653184	15
-1.0460353203	0.3221225472	15
-0.94143178827	0.25769803776	15
-0.847288609443	0.206158430208	15
-0.7625597484987	0.1649267441664	15
-0.68630377364883	0.13194139533312	15
-3	3	16
-2.7	2.4	16
-2.43	1.92	16
-2.187	1.536	16
-1.9683	1.2288	16
-1.77147	0.98304	16
-1.594323	0.786432	16
-1.4348907	0.6291456	16
-1.29140163	0.50331648	16
-1.162261467	0.402653184	16
-1.0460353203	0.3221225472	16
-0.94143178827	0.25769803776	16
-0.847288609443	0.206158430208	16
-0.7625597484987	0.1649267441664	16
-0.68630377364883	0.13194139533312	16
-0.617673396283947	0.105553116266496	16
-3	3	17
-2.7	2.4	17
-2.43	1.92	17
-2.187	1.536	17
-1.9683	1.2288	17
-1.77147	0.98304	17
-1.594323	0.786432	17
-1.4348907	0.6291456	17
-1.29140163	0.50331648	17
-1.162261467	0.402653184	17
-1.0460353203	0.3221225472	17
-0.94143178827	0.25769803776	17
-0.847288609443	0.206158430208	17
-0.7625597484987	0.1649267441664	17
-0.68630377364883	0.13194139533312	17
-0.617673396283947	0.105553116266496	17
-0.555906056655552	0.0844424930131968	17
-3	3	18
-2.7	2.4	18
-2.43	1.92	18
-2.187	1.536	18
-1.9683	1.2288	18
-1.77147	0.98304	18
-1.594323	0.786432	18
-1.4348907	0.6291456	18
-1.29140163	0.50331648	18
-1.162261467	0.402653184	18
-1.0460353203	0.3221225472	18
-0.94143178827	0.25769803776	18
-0.847288609443	0.206158430208	18
-0.7625597484987	0.1649267441664	18
-0.68630377364883	0.13194139533312	18
-0.617673396283947	0.105553116266496	18
-0.555906056655552	0.0844424930131968	18
-0.500315450989997	0.0675539944105575	18
-3	3	19
-2.7	2.4	19
-2.43	1.92	19
-2.187	1.536	19
-1.9683	1.2288	19
-1.77147	0.98304	19
-1.594323	0.786432	19
-1.4348907	0.6291456	19
-1.29140163	0.50331648	19
-1.162261467	0.402653184	19
-1.0460353203	0.3221225472	19
-0.94143178827	0.25769803776	19
-0.847288609443	0.206158430208	19
-0.7625597484987	0.1649267441664	19
-0.68630377364883	0.13194139533312	19
-0.617673396283947	0.105553116266496	19
-0.555906056655552	0.0844424930131968	19
-0.500315450989997	0.0675539944105575	19
-0.450283905890997	0.054043195528446	19
-3	3	20
-2.7	2.4	20
-2.43	1.92	20
-2.187	1.536	20
-1.9683	1.2288	20
-1.77147	0.98304	20
-1.594323	0.786432	20
-1.4348907	0.6291456	20
-1.29140163	0.50331648	20
-1.162261467	0.402653184	20
-1.0460353203	0.3221225472	20
-0.94143178827	0.25769803776	20
-0.847288609443	0.206158430208	20
-0.7625597484987	0.1649267441664	20
-0.68630377364883	0.13194139533312	20
-0.617673396283947	0.105553116266496	20
-0.555906056655552	0.0844424930131968	20
-0.500315450989997	0.0675539944105575	20
-0.450283905890997	0.054043195528446	20
-0.405255515301898	0.0432345564227568	20
-3	3	21
-2.7	2.4	21
-2.43	1.92	21
-2.187	1.536	21
-1.9683	1.2288	21
-1.77147	0.98304	21
-1.594323	0.786432	21
-1.4348907	0.6291456	21
-1.29140163	0.50331648	21
-1.162261467	0.402653184	21
-1.0460353203	0.3221225472	21
-0.94143178827	0.25769803776	21
-0.847288609443	0.206158430208	21
-0.7625597484987	0.1649267441664	21
-0.68630377364883	0.13194139533312	21
-0.617673396283947	0.105553116266496	21
-0.555906056655552	0.0844424930131968	21
-0.500315450989997	0.0675539944105575	21
-0.450283905890997	0.054043195528446	21
-0.405255515301898	0.0432345564227568	21
-0.364729963771708	0.0345876451382054	21
-3	3	22
-2.7	2.4	22
-2.43	1.92	22
-2.187	1.536	22
-1.9683	1.2288	22
-1.77147	0.98304	22
-1.594323	0.786432	22
-1.4348907	0.6291456	22
-1.29140163	0.50331648	22
-1.162261467	0.402653184	22
-1.0460353203	0.3221225472	22
-0.94143178827	0.25769803776	22
-0.847288609443	0.206158430208	22
-0.7625597484987	0.1649267441664	22
-0.68630377364883	0.13194139533312	22
-0.617673396283947	0.105553116266496	22
-0.555906056655552	0.0844424930131968	22
-0.500315450989997	0.0675539944105575	22
-0.450283905890997	0.054043195528446	22
-0.405255515301898	0.0432345564227568	22
-0.364729963771708	0.0345876451382054	22
-0.328256967394537	0.0276701161105643	22
-3	3	23
-2.7	2.4	23
-2.43	1.92	23
-2.187	1.536	23
-1.9683	1.2288	23
-1.77147	0.98304	23
-1.594323	0.786432	23
-1.4348907	0.6291456	23
-1.29140163	0.50331648	23
-1.162261467	0.402653184	23
-1.0460353203	0.3221225472	23
-0.94143178827	0.25769803776	23
-0.847288609443	0.206158430208	23
-0.7625597484987	0.1649267441664	23
-0.68630377364883	0.13194139533312	23
-0.617673396283947	0.105553116266496	23
-0.555906056655552	0.0844424930131968	23
-0.500315450989997	0.0675539944105575	23
-0.450283905890997	0.054043195528446	23
-0.405255515301898	0.0432345564227568	23
-0.364729963771708	0.0345876451382054	23
-0.328256967394537	0.0276701161105643	23
-0.295431270655083	0.0221360928884515	23
-3	3	24
-2.7	2.4	24
-2.43	1.92	24
-2.187	1.536	24
-1.9683	1.2288	24
-1.77147	0.98304	24
-1.594323	0.786432	24
-1.4348907	0.6291456	24
-1.29140163	0.50331648	24
-1.162261467	0.402653184	24
-1.0460353203	0.3221225472	24
-0.94143178827	0.25769803776	24
-0.847288609443	0.206158430208	24
-0.7625597484987	0.1649267441664	24
-0.68630377364883	0.13194139533312	24
-0.617673396283947	0.105553116266496	24
-0.555906056655552	0.0844424930131968	24
-0.500315450989997	0.0675539944105575	24
-0.450283905890997	0.054043195528446	24
-0.405255515301898	0.0432345564227568	24
-0.364729963771708	0.0345876451382054	24
-0.328256967394537	0.0276701161105643	24
-0.295431270655083	0.0221360928884515	24
-0.265888143589575	0.0177088743107612	24
-3	3	25
-2.7	2.4	25
-2.43	1.92	25
-2.187	1.536	25
-1.9683	1.2288	25
-1.77147	0.98304	25
-1.594323	0.786432	25
-1.4348907	0.6291456	25
-1.29140163	0.50331648	25
-1.162261467	0.402653184	25
-1.0460353203	0.3221225472	25
-0.94143178827	0.25769803776	25
-0.847288609443	0.206158430208	25
-0.7625597484987	0.1649267441664	25
-0.68630377364883	0.13194139533312	25
-0.617673396283947	0.105553116266496	25
-0.555906056655552	0.0844424930131968	25
-0.500315450989997	0.0675539944105575	25
-0.450283905890997	0.054043195528446	25
-0.405255515301898	0.0432345564227568	25
-0.364729963771708	0.0345876451382054	25
-0.328256967394537	0.0276701161105643	25
-0.295431270655083	0.0221360928884515	25
-0.265888143589575	0.0177088743107612	25
-0.239299329230618	0.0141670994486089	25
-3	3	26
-2.7	2.4	26
-2.43	1.92	26
-2.187	1.536	26
-1.9683	1.2288	26
-1.77147	0.98304	26
-1.594323	0.786432	26
-1.4348907	0.6291456	26
-1.29140163	0.50331648	26
-1.162261467	0.402653184	26
-1.0460353203	0.3221225472	26
-0.94143178827	0.25769803776	26
-0.847288609443	0.206158430208	26
-0.7625597484987	0.1649267441664	26
-0.68630377364883	0.13194139533312	26
-0.617673396283947	0.105553116266496	26
-0.555906056655552	0.0844424930131968	26
-0.500315450989997	0.0675539944105575	26
-0.450283905890997	0.054043195528446	26
-0.405255515301898	0.0432345564227568	26
-0.364729963771708	0.0345876451382054	26
-0.328256967394537	0.0276701161105643	26
-0.295431270655083	0.0221360928884515	26
-0.265888143589575	0.0177088743107612	26
-0.239299329230618	0.0141670994486089	26
-0.215369396307556	0.0113336795588872	26
-3	3	27
-2.7	2.4	27
-2.43	1.92	27
-2.187	1.536	27
-1.9683	1.2288	27
-1.77147	0.98304	27
-1.594323	0.786432	27
-1.4348907	0.6291456	27
-1.29140163	0.50331648	27
-1.162261467	0.402653184	27
-1.0460353203	0.3221225472	27
-0.94143178827	0.25769803776	27
-0.847288609443	0.206158430208	27
-0.7625597484987	0.1649267441664	27
-0.68630377364883	0.13194139533312	27
-0.617673396283947	0.105553116266496	27
-0.555906056655552	0.0844424930131968	27
-0.500315450989997	0.0675539944105575	27
-0.450283905890997	0.054043195528446	27
-0.405255515301898	0.0432345564227568	27
-0.364729963771708	0.0345876451382054	27
-0.328256967394537	0.0276701161105643	27
-0.295431270655083	0.0221360928884515	27
-0.265888143589575	0.0177088743107612	27
-0.239299329230618	0.0141670994486089	27
-0.215369396307556	0.0113336795588872	27
